,Q_id_x,Q_create_time,View_count,Comment_count,Score,Answer_count,Accepted_Answer_id,Answer_tup,First_ans_time,First_acc_ans_time,Duration_ans,Duration_acc_ans
47,47770674,2017-12-12 10:45:37,920,2,6,1,,"[(47785727.0, '2017-12-13 04:56:06')]",2017-12-13 04:56:06,,18.174722222222222,
48,47899604,2017-12-20 05:54:30,522,0,1,1,,"[(47907248.0, '2017-12-20 13:33:30')]",2017-12-20 13:33:30,,7.65,
49,48234474,2018-01-12 21:50:19,485,1,2,1,48235041.0,"[(48235041.0, '2018-01-12 22:43:42')]",2018-01-12 22:43:42,2018-01-12 22:43:42,0.8897222222222222,0.8897222222222222
50,48433197,2018-01-24 23:08:27,1816,1,1,2,50086085.0,"[(48453699.0, '2018-01-25 23:40:44'), (50086085.0, '2018-04-29 11:29:41')]",2018-01-25 23:40:44,2018-04-29 11:29:41,24.538055555555555,2268.353888888889
51,48637278,2018-02-06 07:06:03,287,2,-3,1,,"[(48637829.0, '2018-02-06 07:41:47')]",2018-02-06 07:41:47,,0.5955555555555555,
52,48917438,2018-02-21 23:50:51,827,0,2,1,48936379.0,"[(48936379.0, '2018-02-22 20:12:36')]",2018-02-22 20:12:36,2018-02-22 20:12:36,20.3625,20.3625
53,49181179,2018-03-08 19:38:47,1481,5,3,1,49245905.0,"[(49245905.0, '2018-03-12 23:20:28')]",2018-03-12 23:20:28,2018-03-12 23:20:28,99.69472222222223,99.69472222222223
54,49698111,2018-04-06 17:24:21,3887,0,1,1,49698209.0,"[(49698209.0, '2018-04-06 17:32:59')]",2018-04-06 17:32:59,2018-04-06 17:32:59,0.1438888888888889,0.1438888888888889
55,49729510,2018-04-09 09:19:08,492,0,2,1,49729605.0,"[(49729605.0, '2018-04-09 09:24:31')]",2018-04-09 09:24:31,2018-04-09 09:24:31,0.08972222222222222,0.08972222222222222
56,49805284,2018-04-12 20:22:00,1612,0,3,2,,"[(49907265.0, '2018-04-18 19:06:38'), (56495320.0, '2019-06-07 13:30:52')]",2018-04-18 19:06:38,,142.74388888888888,
57,49885315,2018-04-17 18:41:38,170,0,0,1,,"[(49885600.0, '2018-04-17 18:58:41')]",2018-04-17 18:58:41,,0.2841666666666667,
58,50338747,2018-05-14 20:46:09,674,0,2,2,,"[(55250135.0, '2019-03-19 21:17:48'), (57657480.0, '2019-08-26 11:55:47')]",2019-03-19 21:17:48,,7416.5275,
59,50361096,2018-05-16 01:04:36,901,1,2,1,50361499.0,"[(50361499.0, '2018-05-16 02:09:24')]",2018-05-16 02:09:24,2018-05-16 02:09:24,1.08,1.08
60,50425779,2018-05-19 13:27:06,194,3,1,1,50427320.0,"[(50427320.0, '2018-05-19 16:27:15')]",2018-05-19 16:27:15,2018-05-19 16:27:15,3.0025,3.0025
61,50473181,2018-05-22 17:12:35,112,0,2,1,50473277.0,"[(50473277.0, '2018-05-22 17:18:41')]",2018-05-22 17:18:41,2018-05-22 17:18:41,0.10166666666666667,0.10166666666666667
62,50496361,2018-05-23 19:46:18,44,1,0,1,,"[(50502373.0, '2018-05-24 06:27:14')]",2018-05-24 06:27:14,,10.682222222222222,
63,50572592,2018-05-28 19:37:30,2553,0,4,1,50574528.0,"[(50574528.0, '2018-05-28 23:36:14')]",2018-05-28 23:36:14,2018-05-28 23:36:14,3.9788888888888887,3.9788888888888887
64,51144078,2018-07-02 21:41:00,337,0,-1,1,,"[(51185557.0, '2018-07-05 07:28:41')]",2018-07-05 07:28:41,,57.79472222222222,
65,51223026,2018-07-07 12:03:00,1026,3,0,1,,"[(51228310.0, '2018-07-08 02:05:47')]",2018-07-08 02:05:47,,14.046388888888888,
66,51230726,2018-07-08 09:45:25,2148,0,3,1,51231402.0,"[(51231402.0, '2018-07-08 11:13:22')]",2018-07-08 11:13:22,2018-07-08 11:13:22,1.4658333333333333,1.4658333333333333
67,51232624,2018-07-08 13:47:43,652,0,0,1,51232979.0,"[(51232979.0, '2018-07-08 14:31:34')]",2018-07-08 14:31:34,2018-07-08 14:31:34,0.7308333333333333,0.7308333333333333
68,51268803,2018-07-10 15:13:46,761,3,0,1,,"[(51283039.0, '2018-07-11 10:23:39')]",2018-07-11 10:23:39,,19.164722222222224,
69,51553123,2018-07-27 07:41:02,30,0,-1,1,,"[(51561330.0, '2018-07-27 15:41:33')]",2018-07-27 15:41:33,,8.008611111111112,
70,51721448,2018-08-07 07:43:33,364,0,2,1,51728488.0,"[(51728488.0, '2018-08-07 13:52:39')]",2018-08-07 13:52:39,2018-08-07 13:52:39,6.151666666666666,6.151666666666666
71,51754740,2018-08-08 20:01:22,309,1,0,1,,"[(51755720.0, '2018-08-08 21:13:05')]",2018-08-08 21:13:05,,1.1952777777777779,
72,52989574,2018-10-25 12:43:20,298,0,1,1,52990496.0,"[(52990496.0, '2018-10-25 13:29:17')]",2018-10-25 13:29:17,2018-10-25 13:29:17,0.7658333333333334,0.7658333333333334
73,53166010,2018-11-06 05:05:25,361,0,1,1,54752576.0,"[(54752576.0, '2019-02-18 17:35:08')]",2019-02-18 17:35:08,2019-02-18 17:35:08,2508.4952777777776,2508.4952777777776
74,53450900,2018-11-23 17:33:33,1196,0,0,1,53451121.0,"[(53451121.0, '2018-11-23 17:55:04')]",2018-11-23 17:55:04,2018-11-23 17:55:04,0.3586111111111111,0.3586111111111111
75,53564164,2018-11-30 20:03:06,832,1,1,1,,"[(53565724.0, '2018-11-30 22:24:02')]",2018-11-30 22:24:02,,2.348888888888889,
76,53632689,2018-12-05 12:46:41,461,0,0,1,53636176.0,"[(53636176.0, '2018-12-05 15:59:24')]",2018-12-05 15:59:24,2018-12-05 15:59:24,3.2119444444444443,3.2119444444444443
77,53696164,2018-12-09 20:01:59,327,1,0,1,,"[(53698929.0, '2018-12-10 02:59:33')]",2018-12-10 02:59:33,,6.959444444444444,
78,53740026,2018-12-12 09:37:11,172,0,0,1,,"[(53740174.0, '2018-12-12 09:46:06')]",2018-12-12 09:46:06,,0.1486111111111111,
79,54196845,2019-01-15 10:18:36,616,0,1,1,54198959.0,"[(54198959.0, '2019-01-15 12:33:19')]",2019-01-15 12:33:19,2019-01-15 12:33:19,2.245277777777778,2.245277777777778
80,54662701,2019-02-13 04:48:59,719,1,1,1,54662907.0,"[(54662907.0, '2019-02-13 05:07:47')]",2019-02-13 05:07:47,2019-02-13 05:07:47,0.31333333333333335,0.31333333333333335
81,54708557,2019-02-15 11:39:38,326,1,0,1,,"[(55085948.0, '2019-03-10 08:45:15')]",2019-03-10 08:45:15,,549.0936111111112,
82,54776007,2019-02-19 22:36:58,384,2,1,1,54776264.0,"[(54776264.0, '2019-02-19 23:05:12')]",2019-02-19 23:05:12,2019-02-19 23:05:12,0.47055555555555556,0.47055555555555556
83,55079805,2019-03-09 17:03:43,891,0,0,1,55080310.0,"[(55080310.0, '2019-03-09 17:55:34')]",2019-03-09 17:55:34,2019-03-09 17:55:34,0.8641666666666666,0.8641666666666666
84,55427880,2019-03-30 03:32:03,734,2,1,1,55429075.0,"[(55429075.0, '2019-03-30 07:08:28')]",2019-03-30 07:08:28,2019-03-30 07:08:28,3.6069444444444443,3.6069444444444443
85,56585434,2019-06-13 17:04:29,1133,0,2,1,56585878.0,"[(56585878.0, '2019-06-13 17:37:35')]",2019-06-13 17:37:35,2019-06-13 17:37:35,0.5516666666666666,0.5516666666666666
86,56749463,2019-06-25 08:04:02,62,0,0,1,,"[(57680553.0, '2019-08-27 18:42:59')]",2019-08-27 18:42:59,,1522.6491666666666,
87,58257860,2019-10-06 13:47:07,66,0,0,1,58258777.0,"[(58258777.0, '2019-10-06 15:33:44')]",2019-10-06 15:33:44,2019-10-06 15:33:44,1.7769444444444444,1.7769444444444444
88,58622226,2019-10-30 09:30:04,543,2,0,1,,"[(58635757.0, '2019-10-31 01:26:31')]",2019-10-31 01:26:31,,15.940833333333334,
89,60032083,2020-02-03 01:11:23,58,4,0,1,60044944.0,"[(60044944.0, '2020-02-03 18:16:13')]",2020-02-03 18:16:13,2020-02-03 18:16:13,17.080555555555556,17.080555555555556
90,60658600,2020-03-12 16:53:59,154,1,0,1,60711933.0,"[(60711933.0, '2020-03-16 19:13:02')]",2020-03-16 19:13:02,2020-03-16 19:13:02,98.3175,98.3175
91,62702871,2020-07-02 18:29:42,88,0,0,1,,"[(62703006.0, '2020-07-02 18:39:46')]",2020-07-02 18:39:46,,0.16777777777777778,
92,62735030,2020-07-04 22:22:58,205,0,1,1,62745002.0,"[(62745002.0, '2020-07-05 18:48:08')]",2020-07-05 18:48:08,2020-07-05 18:48:08,20.419444444444444,20.419444444444444
93,62956891,2020-07-17 15:14:41,24,0,0,1,62964874.0,"[(62964874.0, '2020-07-18 05:06:37')]",2020-07-18 05:06:37,2020-07-18 05:06:37,13.865555555555556,13.865555555555556
94,63687319,2020-09-01 12:05:34,292,0,3,2,63688083.0,"[(63688083.0, '2020-09-01 12:53:39'), (63728659.0, '2020-09-03 17:18:19')]",2020-09-01 12:53:39,2020-09-01 12:53:39,0.8013888888888889,0.8013888888888889
